track_name,artist
Shake it off, taylor swift
2014-12-24
Night changes, one direction
Blank space, taylor swift
Somebody to love, darren espanto
Kilometro, sarah geronimo
Pangarap na bituin, lyca gairanod
Runaway baby, juan karlos
Mr. antipatiko, nadine lustre
Tulad mo, julie anne san jose
The heart wants what it wants, selena gomez
Steal my girl, one direction
